"# surveyed on July 9, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,Dead,Height,1 shoot length,2 shoot length,3 shoot length,4 shoot length,5 shoot length,6 shoot length,7 shoot length,8 shoot length,9 shoot length,10 shoot length,11 shoot length,12 shoot length,13 shoot length,14 shoot length,15 shoot length,16 shoot length,17 shoot length,18 shoot length,19 shoot length,20 shoot length,21 shoot length,22 shoot length
1,none,12,60,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,1,6,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,1,8,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,1,9,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,1,10,0,16,3,3,1.5,2.5,2,8,,,,,,,,,,,,,,,,
2,aphid,1,11,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,1,12,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,1,13,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,1,14,0,34.5,5,1.5,2,6,3.5,1.5,2,2.5,3,3.5,3.5,,,,,,,,,,,
2,none,1,15,0,14.5,3,2.5,4.5,,,,,,,,,,,,,,,,,,,
2,aphid,1,16,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,1,17,0,18.5,2,1.5,1,1,0.5,0.5,1,0.5,0.5,,,,,,,,,,,,,
2,none,1,18,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,1,19,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,1,20,0,28,3.5,1,2.5,1,1,1.5,,,,,,,,,,,,,,,,
2,aphid,6,21,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,6,22,0,5.5,2.5,,,,,,,,,,,,,,,,,,,,,
2,none,6,23,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,6,24,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,6,25,0,8.5,3,2.5,1.5,1.5,,,,,,,,,,,,,,,,,,
2,aphid,6,26,0,9,8.5,,,,,,,,,,,,,,,,,,,,,
2,none,6,27,1,,,,,,,,,,,,,,,,,,,,,,,
2,none,6,28,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,6,29,0,5,0.5,0.5,1,0.5,,,,,,,,,,,,,,,,,,
2,none,6,30,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,6,31,0,6,1,0.5,0.5,1.5,1,,,,,,,,,,,,,,,,,
2,none,6,32,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,6,33,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,6,34,1,,,,,,,,,,,,,,,,,,,,,,,
2,aphid,6,35,0,3,3,,,,,,,,,,,,,,,,,,,,,
2,none,6,36,0,4.5,3,3,4.5,,,,,,,,,,,,,,,,,,,
