"","Year","Block","Aphid.Treatment","Ant.Mound.Dist","Genotype","Plant_Position","plant.id","Dead","leaf_count","Height","mature.shoot.count","immature.shoot.count","all.shoot.count","mature.shoot.total.length","mature.shoot.avg.length","leaf_WC","leaf_percent.browned","leaf_trichome.density","all.shoot.total.length","all.shoot.avg.length"
"76",2012,"2","aphid",1,"U",16,"2.16",0,11,33,2,0,2,18.7,1.03888888888889,NA,0.5,NA,NA,NA
"77",2012,"2","none",1,"J",17,"2.17",0,31,48,6,0,6,23.7,1.31666666666667,2.025,0,42,NA,NA
"78",2012,"2","none",1,"U",18,"2.18",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2012,"2","aphid",1,"L",19,"2.19",0,27,51,6,0,6,30.5,1.69444444444444,1.73684210526316,0.5,6,NA,NA
"80",2012,"2","none",1,"L",20,"2.20",0,36,53.5,9,0,9,47.8,2.65555555555556,NA,NA,NA,NA,NA
"81",2012,"2","aphid",6,"X",21,"2.21",0,5,38,1,0,1,4.7,0.261111111111111,2.31111111111111,0,75,NA,NA
"82",2012,"2","aphid",6,"G",22,"2.22",0,7,32,2,0,2,8.5,0.472222222222222,NA,NA,NA,NA,NA
"83",2012,"2","none",6,"X",23,"2.23",0,16,42,4,1,5,22.6,1.25555555555556,1.70588235294118,0.5,44,NA,NA
"84",2012,"2","none",6,"G",24,"2.24",0,17,48.5,6,0,6,15.5,0.861111111111111,1.80882352941176,1,5,NA,NA
"85",2012,"2","aphid",6,"W",25,"2.25",0,27,51,3,0,3,17.3,0.961111111111111,2.3125,0,60,NA,NA
"86",2012,"2","aphid",6,"T",26,"2.26",0,6,52.5,2,0,2,11.5,0.638888888888889,NA,NA,NA,NA,NA
"87",2012,"2","none",6,"T",27,"2.27",0,7,55.5,3,0,3,19.1,1.06111111111111,NA,NA,NA,NA,NA
"88",2012,"2","none",6,"W",28,"2.28",0,19,51,2,0,2,21.4,1.18888888888889,1.92857142857143,0,49,NA,NA
"89",2012,"2","aphid",6,"S",29,"2.29",0,24,33,4,0,4,25.5,1.41666666666667,1.83720930232558,0,36,NA,NA
"90",2012,"2","none",6,"S",30,"2.30",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2012,"2","aphid",6,"I",31,"2.31",0,24,48,7,0,7,15.9,0.883333333333333,NA,NA,NA,NA,NA
"92",2012,"2","none",6,"I",32,"2.32",0,19,47,5,0,5,21.2,1.17777777777778,NA,NA,NA,NA,NA
"93",2012,"2","aphid",6,"F",33,"2.33",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",2012,"2","aphid",6,"U",34,"2.34",0,4,48,1,4,5,10.2,0.566666666666667,2.41176470588235,0.5,24,NA,NA
"95",2012,"2","aphid",6,"J",35,"2.35",0,27,48.5,8,0,8,34.3,1.90555555555556,1.96153846153846,0.5,1,NA,NA
"96",2012,"2","none",6,"J",36,"2.36",0,21,54,8,0,8,26.7,1.48333333333333,1.89189189189189,1,1,NA,NA
"97",2012,"2","none",6,"F",37,"2.37",0,25,48,6,0,6,22.1,1.22777777777778,1.57692307692308,2,2,NA,NA
"98",2012,"2","none",6,"U",38,"2.38",0,12,49,3,0,3,19,1.05555555555556,1.94117647058824,0,9,NA,NA
"99",2012,"2","aphid",6,"L",39,"2.39",0,10,51.5,3,1,4,7.8,0.433333333333333,2.31578947368421,0,42,NA,NA
"100",2012,"2","none",6,"L",40,"2.40",0,34,53,8,0,8,40.8,2.26666666666667,NA,NA,NA,NA,NA
"101",2012,"2","aphid",12,"X",41,"2.41",0,15,52,3,0,3,21.5,1.19444444444444,1.87719298245614,0.5,55,NA,NA
"102",2012,"2","none",12,"X",42,"2.42",0,21,45,6,0,6,23,1.27777777777778,2.33333333333333,0.5,84,NA,NA
"103",2012,"2","aphid",12,"G",43,"2.43",0,13,31,4,0,4,14,0.777777777777778,NA,NA,NA,NA,NA
"104",2012,"2","aphid",12,"T",44,"2.44",0,6,55,3,4,7,16,0.888888888888889,2.23076923076923,0.5,0,NA,NA
"105",2012,"2","none",12,"T",45,"2.45",0,19,49,4,0,4,25.5,1.41666666666667,NA,NA,NA,NA,NA
"106",2012,"2","none",12,"G",46,"2.46",0,15,38,5,0,5,12,0.666666666666667,NA,NA,NA,NA,NA
"107",2012,"2","aphid",12,"S",47,"2.47",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2012,"2","none",12,"S",48,"2.48",0,19,58,2,0,2,29,1.61111111111111,1.84931506849315,0,37,NA,NA
"109",2012,"2","aphid",12,"I",49,"2.49",0,22,48.5,6,0,6,17.7,0.983333333333333,2.02083333333333,1,39,NA,NA
"110",2012,"2","none",12,"I",50,"2.50",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2012,"2","aphid",12,"W",51,"2.51",0,24,55,4,0,4,22.5,1.25,1.7979797979798,0.5,34,NA,NA
"112",2012,"2","none",12,"W",52,"2.52",0,15,57,3,1,4,23,1.27777777777778,2.85185185185185,2,49,NA,NA
"113",2012,"2","aphid",12,"J",53,"2.53",0,9,58,2,0,2,23,1.27777777777778,2.01666666666667,0.5,1,NA,NA
"114",2012,"2","none",12,"J",54,"2.54",0,21,47,10,0,10,30.7,1.70555555555556,2.16666666666667,0,9,NA,NA
"115",2012,"2","aphid",12,"F",55,"2.55",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2012,"2","aphid",12,"L",56,"2.56",0,18,47,6,1,7,23.2,1.28888888888889,1.82692307692308,0.5,10,NA,NA
"117",2012,"2","none",12,"F",57,"2.57",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2012,"2","aphid",12,"U",58,"2.58",0,7,52,2,0,2,14.5,0.805555555555556,2.53030303030303,0.5,54,NA,NA
"119",2012,"2","none",12,"U",59,"2.59",0,17,56,4,0,4,23.1,1.28333333333333,NA,NA,NA,NA,NA
"120",2012,"2","none",12,"L",60,"2.60",0,30,50,7,0,7,26.2,1.45555555555556,NA,NA,NA,NA,NA
"121",2012,"3","aphid",1,"X",1,"3.1",0,7,43,2,0,2,14,0.777777777777778,NA,NA,NA,NA,NA
"122",2012,"3","none",1,"X",2,"3.2",0,9,57,2,0,2,11,0.611111111111111,1.87234042553192,1,3,NA,NA
"123",2012,"3","aphid",1,"T",3,"3.3",0,0,55,0,4,4,0,0,NA,NA,NA,NA,NA
"124",2012,"3","none",1,"T",4,"3.4",0,4,55,1,2,3,10.1,0.561111111111111,1.89156626506024,0.5,30,NA,NA
"125",2012,"3","aphid",1,"G",5,"3.5",0,0,6,0,2,2,0,0,NA,NA,NA,NA,NA
