"","Year","Block","Wind.Exposure","Genotype","plant_ID","Dead","Height","all.shoot.count","all.shoot.avg.length","leaf_trichome.density","leaf_WC","SLA","leaf_area.mm2","leaf_C_N","leaf_C.mg","leaf_N.mg","leaf_C.perc","leaf_N.perc","trait.PC1","trait.PC2","root_N.perc","root_N.mg","root_C.perc","root_C.mg","root_CN"
"61",2012,"4","Exposed","W","4EW1",0,36,2,0.825,20,1.52564102564103,NA,NA,NA,NA,NA,NA,NA,-0.240357528672316,-0.852646785697283,NA,NA,NA,NA,NA
"62",2012,"4","Exposed","F","4EF2",0,29.5,4,0.875,0,1.63636363636364,NA,NA,NA,NA,NA,NA,NA,-0.246370243033623,-0.959519746481946,NA,NA,NA,NA,NA
"63",2012,"4","Exposed","L","4EL3",0,36.5,4,0.90625,13,2.25,NA,NA,NA,NA,NA,NA,NA,0.230894707505276,0.228757693723955,NA,NA,NA,NA,NA
"64",2012,"4","Exposed","S","4ES4",0,40,3,1.3125,0,1.84931506849315,NA,NA,NA,NA,NA,NA,NA,0.952854756210683,-1.09938521896973,NA,NA,NA,NA,NA
"65",2012,"4","Exposed","I","4EI5",0,16.5,9,1.875,29,2.11111111111111,NA,NA,NA,NA,NA,NA,NA,1.81127319559072,1.58299980806914,NA,NA,NA,NA,NA
"66",2012,"4","Exposed","J","4EJ6",0,34,4,1.28125,21,1.96,NA,NA,NA,NA,NA,NA,NA,0.801359467267172,0.0739729314168533,NA,NA,NA,NA,NA
"67",2012,"4","Exposed","X","4EX7",0,36,1,0.5,25,2.14285714285714,NA,NA,NA,NA,NA,NA,NA,-1.13248610229532,0.135049528959743,NA,NA,NA,NA,NA
"68",2012,"4","Exposed","U","4EU8",0,32,2,1.03125,37,3.05128205128205,NA,NA,NA,NA,NA,NA,NA,-0.372964000962026,2.02488378360769,NA,NA,NA,NA,NA
"69",2012,"4","Exposed","T","4ET9",0,25,4,0.78125,3,2.02222222222222,NA,NA,NA,NA,NA,NA,NA,-0.777344461332693,-0.174586077082612,NA,NA,NA,NA,NA
"70",2012,"4","Exposed","G","4EG10",0,8,4,0.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.87525334260988,0.724425346345901,NA,NA,NA,NA,NA
"71",2012,"4","Unexposed","F","4UF1",0,28.5,7,1.65625,2,1.54,NA,NA,NA,NA,NA,NA,NA,1.76795000399061,-0.708121542015914,NA,NA,NA,NA,NA
"72",2012,"4","Unexposed","W","4UW2",0,38.5,5,1.40625,63,1.58823529411765,NA,NA,NA,NA,NA,NA,NA,1.83358155688693,1.00927794540998,NA,NA,NA,NA,NA
"73",2012,"4","Unexposed","L","4UL3",0,32.5,9,1.3125,0,1.41463414634146,NA,NA,NA,NA,NA,NA,NA,1.93384219424991,-0.703602756177886,NA,NA,NA,NA,NA
"74",2012,"4","Unexposed","J","4UJ4",0,30,5,1.09375,8,1.9047619047619,NA,NA,NA,NA,NA,NA,NA,0.38706264789336,-0.192903888537472,NA,NA,NA,NA,NA
"75",2012,"4","Unexposed","I","4UI5",0,29,7,0.75,27,1.46153846153846,NA,NA,NA,NA,NA,NA,NA,0.371835362264988,0.185784517849793,NA,NA,NA,NA,NA
"76",2012,"4","Unexposed","X","4UX6",0,32.5,2,0.75,75,1.74285714285714,NA,NA,NA,NA,NA,NA,NA,-0.389461990019305,1.46337882510406,NA,NA,NA,NA,NA
"77",2012,"4","Unexposed","U","4UU7",0,33.5,4,0.84375,1,1.81578947368421,NA,NA,NA,NA,NA,NA,NA,-0.0559643524835681,-0.745864439004147,NA,NA,NA,NA,NA
"78",2012,"4","Unexposed","T","4UT8",0,42,3,1.0625,1,2.28,NA,NA,NA,NA,NA,NA,NA,0.579658867664703,-0.436450184256501,NA,NA,NA,NA,NA
"79",2012,"4","Unexposed","S","4US9",0,25.5,6,1.4375,8,1.30952380952381,NA,NA,NA,NA,NA,NA,NA,1.02252912623225,-0.878052429462076,NA,NA,NA,NA,NA
"80",2012,"4","Unexposed","G","4UG10",0,19.5,2,0.59375,11,1.73076923076923,NA,NA,NA,NA,NA,NA,NA,-1.85411289080542,-0.458301679350682,NA,NA,NA,NA,NA
"81",2012,"5","Exposed","W","5EW1",0,33,4,1,20,2.44186046511628,NA,NA,NA,NA,NA,NA,NA,0.148970798274589,0.814496044201595,NA,NA,NA,NA,NA
"82",2012,"5","Exposed","F","5EF2",0,26,3,0.96875,7,1.47169811320755,NA,NA,NA,NA,NA,NA,NA,-0.494423116590982,-1.04000604940685,NA,NA,NA,NA,NA
"83",2012,"5","Exposed","L","5EL3",0,9,6,0.5,17,1.5,NA,NA,NA,NA,NA,NA,NA,-1.72204442692165,0.238242327679836,NA,NA,NA,NA,NA
"84",2012,"5","Exposed","U","5EU4",0,6,4,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25436631792532,0.511270826143764,NA,NA,NA,NA,NA
"85",2012,"5","Exposed","X","5EX5",0,30,3,0.5,15,1.94202898550725,NA,NA,NA,NA,NA,NA,NA,-1.08245263923845,-0.0838542918243978,NA,NA,NA,NA,NA
"86",2012,"5","Exposed","J","5EJ6",0,33,4,0.71875,5,2.07142857142857,NA,NA,NA,NA,NA,NA,NA,-0.33654479159247,-0.200637766466977,NA,NA,NA,NA,NA
"87",2012,"5","Exposed","S","5ES7",0,31,3,1.3125,8,1.58823529411765,NA,NA,NA,NA,NA,NA,NA,0.424321487446988,-1.00393928082989,NA,NA,NA,NA,NA
"88",2012,"5","Exposed","T","5ET8",0,37.5,7,1.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83273613775359,0.339943799232629,NA,NA,NA,NA,NA
"89",2012,"5","Exposed","I","5EI9",0,18,4,0.5625,6,5.25,NA,NA,NA,NA,NA,NA,NA,-2.24621456425269,4.84801124277475,NA,NA,NA,NA,NA
"90",2012,"5","Exposed","G","5EG10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"91",2012,"5","Unexposed","W","5UW1",0,36,5,1.25,71,2.20833333333333,NA,NA,NA,NA,NA,NA,NA,1.31034678766335,2.27661834407549,NA,NA,NA,NA,NA
"92",2012,"5","Unexposed","F","5UF2",0,28,4,1.125,10,1.47169811320755,NA,NA,NA,NA,NA,NA,NA,0.162094419235434,-0.862599020380753,NA,NA,NA,NA,NA
"93",2012,"5","Unexposed","U","5UU3",0,31,2,1.03125,1,2.05,NA,NA,NA,NA,NA,NA,NA,-0.419426047285176,-0.667399073355687,NA,NA,NA,NA,NA
"94",2012,"5","Unexposed","J","5UJ4",0,38,7,2.59375,4,1.97297297297297,NA,NA,NA,NA,NA,NA,NA,3.96412886566319,-0.374358369034956,NA,NA,NA,NA,NA
"95",2012,"5","Unexposed","X","5UX5",0,NA,4,0.71875,56,1.78205128205128,NA,NA,NA,NA,NA,NA,NA,-0.539496195894762,1.30741543968449,NA,NA,NA,NA,NA
