"","Date_rel","Block","Genotype","Ant.mound.dist","Aphid.treatment","plant_ID","X","Aphis.growth.rate"
"155",14,"1","L",6,"aphid","1_6_aphid_L_35","335",-0.130898675982022
"156",14,"1","L",12,"aphid","1_12_aphid_L_53","353",0.2299197017763
"157",14,"1","S",1,"aphid","1_1_aphid_S_13","313",-0.2299197017763
"158",14,"1","S",6,"aphid","1_6_aphid_S_32","332",0.0359020611829866
"159",14,"1","S",12,"aphid","1_12_aphid_S_51","351",0.0109944344480184
"160",14,"1","T",1,"aphid","1_1_aphid_T_3","303",-0.221080358388002
"161",14,"1","T",6,"aphid","1_6_aphid_T_23","323",-0.447927745132736
"162",14,"1","T",12,"aphid","1_12_aphid_T_44","344",-0.2299197017763
"163",14,"1","U",1,"aphid","1_1_aphid_U_17","317",-0.2299197017763
"164",14,"1","U",6,"aphid","1_6_aphid_U_39","339",-0.2299197017763
"165",14,"1","U",12,"aphid","1_12_aphid_U_56","356",0.174825061660302
"166",14,"1","W",1,"aphid","1_1_aphid_W_2","302",-0.2299197017763
"167",14,"1","W",6,"aphid","1_6_aphid_W_21","321",0.00181986082534711
"168",14,"1","W",12,"aphid","1_12_aphid_W_41","341",-0.0232169899282535
"169",14,"1","X",1,"aphid","1_1_aphid_X_7","307",-0.2299197017763
"170",14,"1","X",6,"aphid","1_6_aphid_X_27","327",-0.00300762988540467
"171",14,"2","F",1,"aphid","2_1_aphid_F_10","370",-0.0260459366848506
"172",14,"2","G",6,"aphid","2_6_aphid_G_22","382",-0.0318776501877442
"173",14,"2","G",12,"aphid","2_12_aphid_G_43","403",-0.2299197017763
"174",14,"2","I",1,"aphid","2_1_aphid_I_13","373",-0.342556467542624
"175",14,"2","I",6,"aphid","2_6_aphid_I_31","391",-0.0178804489934294
"176",14,"2","I",12,"aphid","2_12_aphid_I_49","409",-0.526982779159134
"177",14,"2","J",1,"aphid","2_1_aphid_J_11","371",-0.2299197017763
"178",14,"2","J",6,"aphid","2_6_aphid_J_35","395",0.0286672422088787
"179",14,"2","J",12,"aphid","2_12_aphid_J_53","413",-0.2299197017763
"180",14,"2","L",1,"aphid","2_1_aphid_L_19","379",-0.2299197017763
"181",14,"2","L",6,"aphid","2_6_aphid_L_39","399",-0.2299197017763
"182",14,"2","L",12,"aphid","2_12_aphid_L_56","416",-0.2299197017763
"183",14,"2","S",6,"aphid","2_6_aphid_S_29","389",-0.2299197017763
"184",14,NA,NA,NA,NA,"2_12_aphid_S_47",NA,NA
"185",14,"2","T",1,"aphid","2_1_aphid_T_7","367",-0.0898012370603392
"186",14,"2","T",6,"aphid","2_6_aphid_T_26","386",-0.2299197017763
"187",14,"2","T",12,"aphid","2_12_aphid_T_44","404",-0.0550946401159978
"188",14,"2","U",1,"aphid","2_1_aphid_U_16","376",-0.2299197017763
