Plant Position within Willow Garden for cutting,Genotype,Plants Greenhouse Letter,Plant Greenhouse Number,Cutting Length,Random Number,Experiment,Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,
472,G,A,5,60,0.373052803,Field Ant,3,aphid,6,25,
472,G,C,1,60,0.396382095,Field Ant,3,none,6,26,
23,S,A,1,60,0.401358117,Field Ant,3,aphid,6,27,
23,S,D,6,60,0.420226942,Field Ant,3,none,6,28,
479,I,D,2,60,0.463001899,Field Ant,3,aphid,6,29,
479,I,I,3,60,0.467699045,Field Ant,3,none,6,30,
304,W,E,1,60,0.543673758,Field Ant,3,aphid,6,31,
294,U,E,1,60,0.545747834,Field Ant,3,aphid,6,32,
41,J,B,4,60,0.554749705,Field Ant,3,aphid,6,33,
257,F,B,6,60,0.559686353,Field Ant,3,aphid,6,34,
257,F,H,2,60,0.575054337,Field Ant,3,none,6,35,
294,U,G,5,60,0.60190091,Field Ant,3,none,6,36,
530,L,F,2,60,0.651302511,Field Ant,3,aphid,6,37,
304,W,H,2,60,0.661796254,Field Ant,3,none,6,38,
530,L,B,4,60,0.662446841,Field Ant,3,none,6,39,
41,J,A,3,60,0.673342898,Field Ant,3,none,6,40,
113,T,E,1,60,0.393059606,Field Ant,3,aphid,12,41,
487,X,G,7,60,0.403841678,Field Ant,3,aphid,12,42,
23,S,F,4,60,0.480093144,Field Ant,3,aphid,12,43,
472,G,E,1,60,0.489025855,Field Ant,3,aphid,12,44,
479,I,H,2,60,0.495141297,Field Ant,3,aphid,12,45,
113,T,G,3,60,0.502544903,Field Ant,3,none,12,46,
472,G,E,7,60,0.508458587,Field Ant,3,none,12,47,
479,I,C,5,60,0.509354696,Field Ant,3,none,12,48,
487,X,G,1,60,0.517845036,Field Ant,3,none,12,49,
257,F,A,7,60,0.599132233,Field Ant,3,aphid,12,50,
294,U,I,3,60,0.602763429,Field Ant,3,aphid,12,51,
257,F,D,4,60,0.60430894,Field Ant,3,none,12,52,
23,S,B,2,60,0.647561043,Field Ant,3,none,12,53,
304,W,A,1,60,0.663739093,Field Ant,3,aphid,12,54,
304,W,A,5,60,0.679127539,Field Ant,3,none,12,55,
41,J,I,1,60,0.681579116,Field Ant,3,aphid,12,56,
294,U,D,6,60,0.686878683,Field Ant,3,none,12,57,
41,J,E,5,60,0.700300405,Field Ant,3,none,12,58,
530,L,H,6,60,0.725767863,Field Ant,3,aphid,12,59,
530,L,G,1,60,0.72805354,Field Ant,3,none,12,60,
472,G,D,6,60,0.554807595,Field Ant,4,aphid,1,1,
487,X,F,2,60,0.560792673,Field Ant,4,aphid,1,2,
487,X,C,5,60,0.562287458,Field Ant,4,none,1,3,
479,I,B,2,60,0.580056825,Field Ant,4,aphid,1,4,
479,I,E,1,60,0.586192664,Field Ant,4,none,1,5,
