"","X10EF3","X10EI6","X10EJ1","X10ET5","X10EU9","X10EW2","X10EX10","X10UF3","X10UG4","X10UI6","X10UJ1","X10UL7","X10US8","X10UU9","X10UW2","X10UX10","X1EF2","X1EG10","X1EI1","X1EJ7","X1EL4","X1ET5","X1EU9","X1EW2","X1EX6","X1UF2","X1UG10","X1UI3","X1UI4","X1UJ9","X1UM1","X1US7","X1UT5","X1UX6","X2EF2","X2EI3","X2EJ9","X2EL4","X2ES7","X2ET5","X2EU8","X2UF3","X2UG10","X2UI2","X2UL4","X2UT8","X2UU7","X2UX5","X3EF2","X3EJ8","X3EU5","X3EX6","X3E","X3UG10","X3UL3","X3UL4","X3UT9","X3UU6","X3UW1","X4EF2","X4EI5","X4EL3","X4ET9","X4EU8","X4EW1","X4EX7","X4UF1","X4UG10","X4UI5","X4UL3","X4US9","X4UU7","X4UW2","X5EF2","X5EJ6","X5EM1","X5ET8","X5EX5","X5UF2","X5UJ4","X5UL6","X5US7","X5UW1","X6EJ4","X6UF1","X6UI9","X6UJ4","X6UL5","X6US8","X6UW2","X7EF2","X7EI9","X7EJ5","X7EL4","X7ET7","X7EU3","X7EX8","X7UF2","X7UG10","X7UI9","X7UJ3","X7UL5","X7UT7","X7UU6","X7UW1","X8EG10","X8EI8","X8EJ3","X8EL7","X8ES4","X8ET5","X8EX9","X8UF3","X8UI9","X8UJ2","X8UL4","X8US8","X8UT5","X8UU7","X8UW1","X8UX10","X9EF3","X9EG5","X9ES9","X9EU10","X9EX8","X9UF3","X9UG5","X9UJ1","X9UL4","X9US7","X9UT6","X9UU10"
"OP3",0,0,2,0,0,0,19,10,0,1,0,2,5,10,3,0,4,2,3,1,0,2,3,5,0,1,18,0,0,1,0,4,0,0,2,3,5,2,2,2,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,2,0,0,11,2,0,0,0,1,0,0,0,0,0,0,0,1,5,1,4,5,6,4,0,3,0,1,6,6,0,0,2,3,6,0,12,2,1,0,3,2,1,0,6,0,0,0,8,6,4,4,2,1,0,0,8,0,6,0,4,0,0,0,2,1,5,0,3,2,0,0,2
"GN04",3,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,2,1,2,2,0
"OP11",2,0,3,5,2,0,1,1,0,0,1,3,0,15,0,0,0,0,1,0,3,0,0,0,1,0,4,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,1,3,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,7,0,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,1,0,0
"WS5",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,3,0,0,2,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidetes",1517,612,1838,1089,1009,1043,4910,2490,699,1062,1216,1702,1549,4970,812,1727,551,619,488,364,1166,346,754,975,638,363,4185,645,363,1059,427,601,366,398,688,1204,452,775,628,986,747,555,586,466,534,540,619,711,2433,1124,1978,671,1547,1347,1994,1129,1792,1555,1686,603,1624,756,996,973,1338,552,555,1205,796,625,4012,1317,896,1085,893,584,1021,1015,901,1181,891,2094,1092,2044,1666,1729,1134,1262,1682,657,828,646,1062,1610,763,682,946,601,1021,2041,971,754,1025,487,616,1289,808,621,2114,847,875,322,1003,480,687,492,640,550,1202,529,727,1277,1514,2755,2358,984,1757,928,1071,1076,1566,617,585
"AD3",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrospirae",7,0,1,3,5,4,87,13,13,9,6,16,17,126,21,2,15,13,13,0,16,7,2,8,23,6,64,20,1,4,6,13,18,1,10,7,9,16,22,5,0,0,2,0,0,4,3,2,1,0,1,6,0,4,3,0,0,7,0,15,27,16,2,32,24,1,0,0,0,3,0,2,0,1,0,4,3,1,5,1,32,16,6,5,3,19,1,4,33,3,0,3,5,5,19,9,8,10,5,22,24,6,2,5,23,1,3,2,25,4,2,22,14,0,0,7,13,14,4,0,15,5,0,1,1,0,12,4,4,4,10,8,3
"NKB19",0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0
"SR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistetes",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spirochaetes",22,1,9,8,5,9,126,137,51,50,22,11,79,184,22,2,21,8,30,16,21,15,7,10,48,25,81,32,10,6,29,35,36,15,25,33,23,35,18,5,0,5,4,0,7,4,5,5,2,2,0,1,0,7,6,0,0,1,3,18,32,24,1,28,113,1,0,0,2,1,9,0,1,4,2,1,1,4,13,8,29,12,2,18,4,21,1,0,22,4,12,0,2,12,20,10,34,18,40,36,62,4,20,1,72,4,6,5,35,2,22,7,7,14,9,7,46,29,32,0,54,4,2,3,1,2,24,4,34,34,63,8,29
"TM7",171,19,157,73,139,132,133,73,19,9,22,35,29,110,47,16,16,26,22,4,29,17,14,20,27,15,169,12,22,64,19,27,9,19,34,19,17,19,13,20,6,12,18,8,8,23,18,41,103,78,94,52,93,132,87,34,11,27,63,23,13,29,22,6,15,22,37,26,12,21,112,99,89,76,18,11,34,38,35,13,19,64,29,42,30,85,13,26,49,21,18,27,30,42,38,68,42,15,30,71,47,66,74,76,16,39,16,16,62,36,61,14,19,21,90,10,37,22,34,20,17,77,241,57,149,29,27,12,20,9,41,14,8
"GN02",3,0,0,0,0,0,0,5,3,7,0,4,3,4,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"MVP-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4
