OTUId,10EF3,10EI6,10EJ1,10ET5,10EU9,10EW2,10EX10,10UF3,10UG4,10UI6,10UJ1,10UL7,10US8,10UT5,10UU9,10UX10,1EF2,1EG10,1EI1,1EJ7,1EL4,1ET5,1EU9,1EW2,1EX6,1UF2,1UG10,1UI3,1UI4,1UJ9,1UM1,1US7,1UT5,1UX6,2EI3,2EJ9,2ES7,2ET5,2EU8,2UG10,2UL4,2UT8,2UU7,2UX5,3EF2,3EJ8,3EU5,3EX6,3E,3UG10,3UL3,3UI4,3UT9,3UU6,3UW1,4EF2,4EI5,4EL3,4ET9,4EU8,4EW1,4EX7,4UF1,4UG10,4UI5,4UL3,4US9,4UT8,4UU7,4UW2,5EF2,5EJ6,5EM1,5ET8,5EX5,5UF2,5UJ4,5UL6,5US7,5UW1,6EJ4,6ET7,6UF1,6UI9,6UL5,6US8,6UW2,7EI9,7EJ5,7EL4,7ET7,7EU3,7EW1,7EX8,7UF2,7UG10,7UI9,7UJ3,7UL5,7UT7,7UU6,7UW1,8EF1,8EG10,8EI8,8EJ3,8EL7,8ES4,8EW2,8EX9,8UF3,8UI9,8UJ2,8US8,8UT5,8UU7,8UW1,8UX10,9EF3,9EG5,9ES9,9EU10,9EW1,9EX8,9UF3,9UG5,9UI9,9UJ1,9UL4,9US7,9UT6,9UU10,9UW2,9UX8
OTU_46,121,0,29,0,1,0,43,0,0,0,29,0,19,0,49,0,98,3,0,35,90,0,3,2,0,462,89,21,1924,89,11,310,272,326,61,38,43,85,24,67,112,169,57,96,0,474,438,103,0,123,0,9,1,0,0,0,98,55,19,16,38,211,2116,495,54,273,332,1381,114,1331,679,231,146,0,0,0,0,0,0,103,383,87,286,28,92,305,578,92,0,23,1,0,0,1,547,0,69,119,0,0,0,8,383,34,0,34,0,0,211,21,0,1,0,1,0,0,0,0,107,201,1156,686,143,20,42,390,0,89,261,11,0,6,66,14
OTU_27,115,3,7,79,1053,3,1528,1132,312,597,416,372,0,1088,140,435,0,0,0,1,0,0,0,0,0,0,0,537,168,0,39,2932,7376,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,337,159,0,1175,223,0,0,45,116,0,0,0,77,81,669,0,0,1,112,1096,784,804,514,1,0,0,0,1,0,0,0,117,0,1,0,0,0,652,6149,2389,345,1169,1309,835,1809,0,0,0,0,0,0,0,2,3340,0,0,0,577,926,11,0,0,1,0,0,2,1,0,0,107,0,0,0,1,0,0,1
OTU_72,42,150,5,6,0,1,0,4,0,0,0,3,165,0,5,6,641,7,260,0,0,5,2,4,8,0,0,5,0,7,136,141,42,0,20,159,33,1,14,0,0,13,0,11,204,9,16,8,0,24,0,13,4,45,114,2,0,0,403,0,2,0,48,0,0,6,216,25,20,16,39,11,1,31,121,11,1,135,28,2,320,16,12,6,13,65,1,0,376,29,144,26,0,70,52,4,61,2,0,0,53,0,42,2,3,297,4,0,7,0,18,2,0,0,1,145,0,0,106,52,19,38,668,39,878,351,0,264,27,142,98,39,0,831
OTU_83,144,8,0,0,22,0,0,0,0,0,13,0,47,0,0,17,88,12,0,0,0,0,185,1,0,0,0,0,7,0,0,0,0,0,83,0,217,0,12,6,27,127,1,7,4,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,6,14,0,31,2,10,12,0,5,21,112,0,2,0,20,4,1,0,0,303,64,1406,142,14,28,59,25,0,0,19,0,4,284,0,70,0,17,0,0,0,28,0,8,12,0,36,0,11,0,0,163,59,0,0,0,1,0,0,0,7,14,24,33,25,37,7,6,0,0,3,148,0,9,0
OTU_41,105,0,5,7,85,90,88,9,1,0,21,0,16,0,30,0,0,0,0,0,21,1,0,0,8,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,23,7,47,233,1,311,1,33,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,25,17,5,1,6,3,2020,0,10,23,210,21,10,17,4,83,136,6,136,87,7,156,10,140,68,55,26,4,462,1,1,312,0,120,0,0,353,16,0,0,244,3,19,13,8,13,211,0,184,0,250,60,21,51,103,8731,89,494,116,2405
OTU_1046,5,0,5,0,0,0,0,0,4,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_22,280,72,74,257,290,77,97,179,0,5,807,425,7,1235,37,460,447,58,37,380,1097,60,23,27,128,506,23,184,165,319,84,178,771,118,61,906,655,95,539,61,220,61,3,1,595,296,571,328,965,352,33,319,1084,5,28,32,5,9,350,2,23,142,550,89,6,143,36,770,42,599,1969,296,43,183,92,2,159,14,45,28,1162,6582,116,490,901,46,1132,44,77,183,165,40,457,127,3698,1289,63,13,1771,411,2022,10,2856,97,94,7,6,161,383,18,418,113,0,0,800,101,126,1,38,279,140,338,1261,174,243,1333,105,1177,147,883,3066,71,2014,4220
OTU_195,12,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,109,132,8,72,14,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_113,25,1,1,16,139,20,0,3,0,0,0,16,0,10,41,0,29,23,0,21,591,31,12,5,1,0,2,0,31,49,13,2,12,3,0,1,6,24,0,5,269,17,5,1,0,0,10,0,14,43,11,0,0,4,22,4,1,6,0,1,16,0,0,12,0,3,12,0,22,11,0,8,3,1,0,0,0,13,0,1,0,85,0,0,13,0,0,25,11,70,1,19,0,20,3,0,0,0,10,7,11,0,50,4,0,142,0,3,0,5,0,0,0,0,6,0,2,0,5,0,1,14,107,71,0,34,0,14,0,0,5,0,38,148
OTU_3,46,1,0,39,27,1,9,1,7,183,9,0,205,1,1,4,1,26,1,3,8,3,2,1,27834,20057,29992,9,6036,49,644,2,34,4356,381,5,21,11,5,1,7,4,167,0,23,2,1,9,0,3,1,0,14,1,1,2,4,8,2,0,2,2,2238,2224,67,511,107,661,367,13141,1,1,2,0,1,3,2567,57,473,1,729,831,503,228,5,3394,4341,10811,1071,1,6543,0,0,33086,1839,24612,1903,4951,203,8906,1221,4530,2,1206,3632,3,7029,2,6,23583,3623,412,0,2331,24183,73,650,2969,4270,4748,8,5117,11921,9538,9,3,499,109,14,18,11,1990,1,11
