"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_1818","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium sp KF_2011c","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_378","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_527","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Geosmithia","Geosmithia sp RJ0888","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_258","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella paraensis","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_355","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella globulifera","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_253","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella fatshederae","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_551","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Acremonium","Acremonium dichromosporum","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_145","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_348","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon gamsii","Probable","NULL","Animal Pathogen","Probable"
"OTU_408","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_314","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes sp","-","-","-","-"
"OTU_664","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_660","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_795","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_615","Fungi","Basidiomycota","Agaricomycetes","Agaricales","unidentified","unidentified","Agaricales sp","-","-","-","-"
"OTU_667","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","unidentified","Lasiosphaeriaceae sp","-","-","-","-"
"OTU_450","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae sedis","Cryptococcus","Cryptococcus dimennae","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_573","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_1684","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_699","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_750","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella sp","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_613","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucocoprinus","Leucocoprinus birnbaumii","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_932","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius aff gerardii AVerbeken/RWalleyn04_088","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_564","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_631","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula sp YS_2011","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
