"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_1618","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_1606","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudogymnoascus","Pseudogymnoascus roseus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_7","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina sp","Possible","NULL","Ectomycorrhizal","Possible"
"OTU_1","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","Thelephoraceae sp","-","-","-","-"
"OTU_2","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius saniosus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_39","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","Geopora sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_105","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_32","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Pochonia","Pochonia bulbillosa","Probable","NULL","Animal Pathogen","Probable"
"OTU_16","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_64","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Ilyonectria","Ilyonectria mors-panacis","Probable","NULL","Plant Pathogen","Probable"
"OTU_44","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_15","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","Thelephoraceae sp","-","-","-","-"
"OTU_313","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Stagonosporopsis","Stagonosporopsis ajacis","Probable","NULL","Plant Pathogen","Probable"
"OTU_25","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp WD35C","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_11","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_19","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Hebeloma","Hebeloma cavipes","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_20","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes sp","-","-","-","-"
"OTU_46","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_27","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","Thelephoraceae sp","-","-","-","-"
"OTU_72","Fungi","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis","Polyscytalum","Polyscytalum pustulans","Probable","NULL","Plant Pathogen","Probable"
"OTU_83","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Gibberella baccata","Probable","NULL","Plant Pathogen","Probable"
"OTU_41","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium sp","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_1046","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina sp","Possible","NULL","Ectomycorrhizal","Possible"
"OTU_22","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_113","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_3","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe lacera var. helobia","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_34","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_322","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_407","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodosporidium","Rhodosporidium kratochvilovae","Highly Probable","Yeast","Undefined Saprotroph","Highly Probable"
"OTU_98","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula lamellibrachiae","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
"OTU_36","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_30","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_357","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudogymnoascus","Pseudogymnoascus roseus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_192","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","unidentified","Ophiostomataceae sp","-","-","-","-"
"OTU_74","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Arnium","Arnium sp","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph","Highly Probable"
"OTU_55","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe sp C2c7","Probable","NULL","Plant Pathogen","Probable"
"OTU_24","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_240","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes sp","-","-","-","-"
"OTU_26","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Stagonospora","Stagonospora perfecta","Probable","NULL","Plant Pathogen","Probable"
"OTU_493","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_384","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","unidentified","unidentified","Sebacinales sp","-","-","-","-"
"OTU_56","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Acremonium","Acremonium sp 5706","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_702","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_305","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_1815","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius saniosus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_1693","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina sp","Possible","NULL","Ectomycorrhizal","Possible"
"OTU_90","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_18","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_31","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella hyalina","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_637","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","Lophiostoma sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_171","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_323","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_141","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_264","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Myxotrichaceae","Oidiodendron","Oidiodendron sp 23WI07","Probable","Dark Septate Endophyte","Ericoid Mycorrhizal","Probable"
"OTU_59","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Incertae sedis","Monodictys","Monodictys pelagica","Highly Probable","NULL","Undefined Endophyte-Wood Saprotroph","Highly Probable"
"OTU_14","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_380","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium raphiae","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_620","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius vibratilis","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_89","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Cadophora","Cadophora finlandica","Highly Probable","Dark Septate Endophyte","Undefined Endophyte","Highly Probable"
"OTU_122","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Devriesia","Devriesia sp","Probable","NULL","Plant Pathogen","Probable"
"OTU_97","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_66","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus terricola","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_91","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_217","Fungi","Basidiomycota","Microbotryomycetes","unidentified","unidentified","unidentified","Microbotryomycetes sp","-","-","-","-"
"OTU_42","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_33","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_1829","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_61","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella horticola","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_47","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_209","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_250","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudeurotium","Pseudeurotium sp MF_4","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_1872","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_111","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma sp TR057","Highly Probable","NULL","Wood Saprotroph","Highly Probable"
"OTU_126","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_377","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_979","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella parvispora","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_184","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","unidentified","uncultured Dermateaceae","-","-","-","-"
"OTU_249","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida boleticola","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_5","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella sp","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_45","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Cryptosporiopsis","Cryptosporiopsis brunnea","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_1774","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_131","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Montagnulaceae","Microsphaeropsis","Microsphaeropsis arundinis","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_50","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma sp TR057","Highly Probable","NULL","Wood Saprotroph","Highly Probable"
"OTU_328","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unidentified","Nectriaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_1976","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","Thelephoraceae sp","-","-","-","-"
"OTU_501","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_243","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_95","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_125","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_234","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_421","Fungi","Basidiomycota","Tremellomycetes","Tremellales","unidentified","unidentified","Tremellales sp","Possible","Tremelloid-Yeast","Mycoparasite-Undefined Saprotroph","Possible"
"OTU_92","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe sp 3 RT_2012","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_385","Fungi","Zygomycota","Incertae sedis","Mucorales","Umbelopsidaceae","Umbelopsis","Umbelopsis sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_167","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_785","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora scillae","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_319","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_287","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_53","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora chaetospira","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_80","Fungi","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis","Polyscytalum","Polyscytalum pustulans","Probable","NULL","Plant Pathogen","Probable"
"OTU_146","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Rhizoscyphus","Rhizoscyphus ericae","Highly Probable","Dark Septate Endophyte","Ericoid Mycorrhizal","Highly Probable"
"OTU_656","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_1608","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudogymnoascus","Pseudogymnoascus roseus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_200","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida digboiensis","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_812","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora immunda","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_1785","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp DB_2012c","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_118","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_237","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe squarrosa","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_107","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_1117","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_152","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Stachybotrys","Stachybotrys sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_215","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_177","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp","Probable","NULL","Plant Pathogen-Soil Saprotroph-Wood Saprotroph","Probable"
"OTU_135","Fungi","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis","Phialea","Phialea sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_479","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula sp AU_CryS03","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
"OTU_48","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon veenhuisii","Probable","NULL","Animal Pathogen","Probable"
"OTU_180","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium spinulosum","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_49","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_110","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora sp","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_62","Fungi","Ascomycota","Sordariomycetes","Incertae sedis","Annulatascaceae","Aquaticola","Aquaticola hongkongensis","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_1396","Fungi","Ascomycota","Leotiomycetes","unidentified","unidentified","unidentified","Leotiomycetes sp","-","-","-","-"
"OTU_393","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","unidentified","Trichocomaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_17","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Campanella","Campanella sp AHH83","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_400","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium levitum","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_1607","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius saniosus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_185","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudogymnoascus","Pseudogymnoascus roseus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_174","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida digboiensis","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_1611","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","unidentified","Trichocomaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_114","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium canescens","Highly Probable","NULL","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_632","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella parvispora","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_8","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula sp","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_635","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_1873","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_79","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_299","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","unidentified","Trichocomaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_1245","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_85","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Dendryphiella","Dendryphiella arenaria","Probable","NULL","Plant Pathogen","Probable"
"OTU_73","Fungi","Ascomycota","Sordariomycetes","Sordariales","unidentified","unidentified","Sordariales sp","-","-","-","-"
"OTU_57","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Paxillus","Paxillus ammoniavirescens","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_10","Fungi","Ascomycota","Leotiomycetes","Incertae sedis","Incertae sedis","Meliniomyces","Meliniomyces bicolor","Probable","Dark Septate Endophyte","Ectomycorrhizal-Saprotroph","Probable"
"OTU_334","Fungi","Zygomycota","Incertae sedis","Mucorales","Umbelopsidaceae","Umbelopsis","Umbelopsis sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_340","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Scytalidium","Scytalidium sp","Probable","NULL","Wood Saprotroph","Probable"
"OTU_197","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Kabatiella","Kabatiella sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_325","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","unidentified","Trichocomaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_1494","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida digboiensis","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_591","Fungi","Ascomycota","Sordariomycetes","Incertae sedis","Glomerellaceae","Colletotrichum","Colletotrichum acerbum","Probable","NULL","Plant Pathogen","Probable"
"OTU_54","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola nigrescens","Probable","NULL","Undefined Saprotroph-Wood Saprotroph","Probable"
"OTU_35","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Ilyonectria","Ilyonectria macrodidyma","Probable","NULL","Plant Pathogen","Probable"
"OTU_151","Fungi","Ascomycota","Leotiomycetes","Incertae sedis","Incertae sedis","Meliniomyces","Meliniomyces sp","Probable","Dark Septate Endophyte","Ectomycorrhizal-Saprotroph","Probable"
"OTU_396","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_164","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Setomelanomma","Setomelanomma holmii","-","-","-","-"
"OTU_144","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_367","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Phoma","Phoma bulgarica","Highly Probable","NULL","Plant Pathogen-Wood Saprotroph","Highly Probable"
"OTU_366","Fungi","Zygomycota","Incertae sedis","Mucorales","Umbelopsidaceae","Umbelopsis","Umbelopsis sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_207","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Lipomycetaceae","Lipomyces","Lipomyces sp","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_23","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_225","Fungi","Zygomycota","Incertae sedis","Mucorales","Umbelopsidaceae","Umbelopsis","Umbelopsis sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_289","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_273","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_445","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Lipomycetaceae","Lipomyces","Lipomyces sp","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_241","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_68","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_188","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_642","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_173","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_60","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_202","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Pyrenochaeta","Pyrenochaeta sp","Highly Probable","NULL","Undefined Saprotroph-Wood Saprotroph","Highly Probable"
"OTU_29","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon gamsii","Probable","NULL","Animal Pathogen","Probable"
"OTU_199","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Lecythophora","Lecythophora fasciculata","Highly Probable","Dark Septate Endophyte","Undefined Endophyte","Highly Probable"
"OTU_213","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_456","Fungi","Zygomycota","Incertae sedis","Mucorales","Umbelopsidaceae","Umbelopsis","Umbelopsis sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_37","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Phoma","Phoma bulgarica","Highly Probable","NULL","Plant Pathogen-Wood Saprotroph","Highly Probable"
