Genotype,Block,Wind Exposure,Plant Position,Unique Number,Dead?,Leaves Collected?,Mature Green Leaves,Shoots sprouting at base,Max Height,Top and bottom shoot Dist,1 shoot M,2 shoot M,3 shoot M,4 shoot M,5 shoot M,6 shoot M,7 shoot M,8 shoot M,9 shoot M,10 shoot M,1 shoot I,2 shoot I,3 shoot I,4 shoot I,5 shoot I,6 shoot I,Notes
J,2,Exposed,9,29,0,yes,26,,26.5,17.5,5.5,1,5.5,5,4,2,0,0,0,0,,,,,,,
G,2,Exposed,10,30,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
W,2,Unexposed,1,31,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,former height of 27
I,2,Unexposed,2,32,0,yes,19,,26.5,13,3,6,2.5,1.5,2,2,0,0,0,0,,,,,,,2 spider disk egg sacks 
F,2,Unexposed,3,33,0,yes,16,,28,8,6,4,3.5,2.5,0,0,0,0,0,0,,,,,,,
L,2,Unexposed,4,34,0,yes,17,2,32,17.5,1,7,5,2,2.5,1.5,2,0,0,0,1,1,,,,,"brown LH, 2 unknown eggs pic taken at 10:18 - first time noticed"
X,2,Unexposed,5,35,0,yes,16,,29,8.5,4.5,2.5,5,1,0,0,0,0,0,0,,,,,,,main stem is curved
S,2,Unexposed,6,36,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,"spider egg sack in LTF, not as overgrown as exposed site"
U,2,Unexposed,7,37,0,yes,9,1,38,21,13,4,1,0,0,0,0,0,0,0,2,,,,,,
T,2,Unexposed,8,38,0,yes,1,2,31.5,,8.5,0,0,0,0,0,0,0,0,0,2.5,1,,,,,former spider web
J,2,Unexposed,9,39,0,yes,,3,4.5,,0,0,0,0,0,0,0,0,0,0,1,0.5,1,,,,
G,2,Unexposed,10,40,0,no,,4,13,,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,,,
W,3,Exposed,1,41,0,yes,10,,29.5,3,6,7.5,0,0,0,0,0,0,0,0,,,,,,,
F,3,Exposed,2,42,0,yes,18,,26,11,5,1.5,4.5,2.5,0,0,0,0,0,0,,,,,,,
L,3,Exposed,3,43,0,yes,14,,30.5,9,5.5,2,2,2.5,4,0,0,0,0,0,,,,,,,
I,3,Exposed,4,44,0,yes,21,,26.5,15.5,2.5,6,2,4,1,2,1.5,0,0,0,,,,,,,2 twisty galls
U,3,Exposed,5,45,0,yes,1,4,30.5,,11,0,0,0,0,0,0,0,0,0,3,3,1,1.5,,,
X,3,Exposed,6,46,0,yes,9,,29.5,1.5,4,2.5,3,0,0,0,0,0,0,0,,,,,,,old parisatiod cocoon
S,3,Exposed,7,47,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,former height of 29.5
J,3,Exposed,8,48,0,yes,,6,15,,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,0.5,1.5,
T,3,Exposed,9,49,0,yes,,4,35.5,,8,0,0,0,0,0,0,0,0,0,2.5,1,1,1,,,no mature leaves
G,3,Exposed,10,50,0,yes,7,,13.5,,12.5,0,0,0,0,0,0,0,0,0,,,,,,,"1 leaf left on the cutting, had a white gallery mine on underside of leaf. Was left because if removed it would have removed all leaves."
W,3,Unexposed,1,51,0,yes,38,,32.5,23,4.5,6,5.5,5,3,2,0,0,0,0,,,,,,,"yellow knife LH, old spider web too"
